title,weight
우리들의 블루스,"[(0, 0.13458753), (1, 0.21236132), (2, 0.39219218), (3, 0.26085898)]"
사내 맞선,"[(0, 0.08092192), (1, 0.37573487), (2, 0.38379836), (3, 0.15954486)]"
스물다섯 스물하나,"[(0, 0.07127415), (1, 0.27033454), (2, 0.11565156), (3, 0.54273975)]"
시맨틱 에러,"[(0, 0.082007036), (1, 0.46829528), (2, 0.31684268), (3, 0.13285503)]"
악의 마음을 읽는 자들,"[(0, 0.32678878), (1, 0.36813378), (2, 0.21617632), (3, 0.0889011)]"
나의 아저씨,"[(0, 0.1764225), (1, 0.18687381), (2, 0.07727533), (3, 0.55942833)]"
소년심판,"[(0, 0.48359704), (1, 0.2596692), (2, 0.12260025), (3, 0.13413347)]"
비밀의 숲,"[(0, 0.22362714), (1, 0.3339782), (2, 0.3339834), (3, 0.10841126)]"
멜로가 체질,"[(0, 0.098774634), (1, 0.44639757), (2, 0.13755706), (3, 0.31727073)]"
괴물,"[(0, 0.18840165), (1, 0.33917323), (2, 0.29910922), (3, 0.17331591)]"
모범택시,"[(0, 0.35720122), (1, 0.4122383), (2, 0.1485661), (3, 0.08199435)]"
미스터 션샤인,"[(0, 0.087778896), (1, 0.3645161), (2, 0.18617809), (3, 0.36152688)]"
트레이서,"[(0, 0.17667915), (1, 0.42262587), (2, 0.2816565), (3, 0.11903849)]"
술꾼도시여자들,"[(0, 0.20499572), (1, 0.3166143), (2, 0.17302881), (3, 0.30536118)]"
라이프 온 마스,"[(0, 0.2336843), (1, 0.32582745), (2, 0.25510505), (3, 0.18538319)]"
해피니스,"[(0, 0.21314356), (1, 0.49043283), (2, 0.16279934), (3, 0.1336243)]"
태종 이방원,"[(0, 0.25210422), (1, 0.3833589), (2, 0.19571954), (3, 0.1688173)]"
도시남녀의 사랑법,"[(0, 0.09828144), (1, 0.31867632), (2, 0.21945578), (3, 0.36358652)]"
검색어를 입력하세요 WWW,"[(0, 0.2695747), (1, 0.25906885), (2, 0.19306222), (3, 0.2782942)]"
옷소매 붉은 끝동,"[(0, 0.07050482), (1, 0.29861072), (2, 0.22517835), (3, 0.40570608)]"
악의 꽃,"[(0, 0.103930354), (1, 0.29804754), (2, 0.2821286), (3, 0.31589347)]"
런 온,"[(0, 0.113652565), (1, 0.33270162), (2, 0.23654066), (3, 0.31710517)]"
손 the guest,"[(0, 0.11211987), (1, 0.41072932), (2, 0.35623476), (3, 0.12091608)]"
"서른, 아홉","[(0, 0.07991577), (1, 0.32049096), (2, 0.21818176), (3, 0.38141152)]"
슬기로운 의사생활,"[(0, 0.09800828), (1, 0.3148979), (2, 0.1877924), (3, 0.3993014)]"
D.P.,"[(0, 0.54699403), (1, 0.20452869), (2, 0.07075655), (3, 0.17772068)]"
사랑의 불시착,"[(0, 0.10787944), (1, 0.23934138), (2, 0.41947562), (3, 0.23330356)]"
스토브리그,"[(0, 0.22881205), (1, 0.3654587), (2, 0.24139524), (3, 0.164334)]"
왓쳐,"[(0, 0.23039241), (1, 0.33660045), (2, 0.3543474), (3, 0.07865971)]"
그림자 미녀,"[(0, 0.10781913), (1, 0.38543412), (2, 0.35107788), (3, 0.15566887)]"
동백꽃 필 무렵,"[(0, 0.09420215), (1, 0.16381936), (2, 0.30260208), (3, 0.43937638)]"
