,title,Topic,summary
0,우리들의 블루스,Topic0,차승원 고딩 때 역할은 비주얼이며 성격이며 미쳣다화 순수함을 간직한 은희와 찌들어 버린 남주 차승원 역의 대비 흥미진진한 부분은 남주가 은희 돈 먹을려고 노력하겠지만 은희는 전혀 호락호락한 성격이 아니라는 점 그렇지만 인간은 다면적인 존재니까 둘이 어떤 모습을 보여줄지 꽤 궁금하다 화나 왜 우럭화 이미 점 확정이다 여기까지 봐도 그냥 점이다 이 드라마는
1,우리들의 블루스,Topic0,하 진짜 좋아하는 배우 전부 다 나오네 한수의 위험한 생각이 뭔지 알 것 같아서 고통스럽다
2,우리들의 블루스,Topic0,화부터 풍겨오는 노희경 작가 특유의 사람 냄새 너무 그리웠잖아요 너무 너무 지독할 만큼 솔직하고 미어지는 감정들이 얼마나 내 부끄러운 속내들을 벅벅 긁어놓을지 벌써부터 두근두근
3,우리들의 블루스,Topic0,특정 직업군 사람들의 이야기 잔잔하니 재밌다
4,우리들의 블루스,Topic0,자기 삶 자기 이해에는 관대해도 타인의 그것에 쉽사리 비난의 화살을 돌리는 세속적 모습에 관객을 이입시켜 함께 손쉬운 비난의 마음을 유도하더니 대뜸 귀싸대기를 날린다 너라면 그리 철저한 자기 객관화로 한 걸음 더 들어가서 이해해 볼 수 있었겠느냐고 호통친다 이야기에 배신당한 관객의 카타르시스를 교묘하게 이끌어낸다 어느 정도의 감수성으로 세상과 교감해야 이런 깊이의 상상력이 지어질까 이야기도 주조연 연기도 단 두 회 만으로도 압도적
5,우리들의 블루스,Topic1,사람 냄새랍시고 쉰내 날까 걱정했는데 되게 담백하다 보면서 이병헌 언제 나와라는 생각이 단 한 번도 들지 않았다
6,우리들의 블루스,Topic1,작가 필력의 총집합체 기라성 같은 톱스타들을 적재적소에 배치하는 재치화까지의 퀄리티만 유지하면 점까지 갈 듯 계속 작성할 예정화는 캐릭터 소개하는 회차인지라 생각보다 더 심심했단 느낌이 있었으나 화는 시간 가는 줄 몰랐다 지금의 한수가 어린 한수를 반추하는 장면 같은 인물을 병치해 놓은 감독의 연출과 차승원의 아련한 연기력이 어우러져 드라마 감상 중 첫 눈물을 자아낼 뻔 그래도 은희는 이용하지 말지 배우들의 얼굴은 비현실적이지만 노희경 작가 특유의 현실적 인물 묘사는 변치 않았구나 무작정 악으로만 표상되는 사람이 없다는 것 잠시 악함에 눈을 돌렸던 이들도 본질적으론 선하다는 것 그를 바라보는 대중들의 감정이 움직이는 것 그녀가 사람을 얼마나 따스한 시선으로 바라보는지 알 수 있다 차승원과 이정은의 연기력이 클라이맥스에 달했다 은희의 머릿속 현실과 기대가
7,우리들의 블루스,Topic1,현실에서 느껴지는 차가운 퍽퍽함이 마냥 싫지만은 않다
8,우리들의 블루스,Topic1,특별하지도 않고 신선한 이야기도 아닌데 전개도 잔잔하고 큰 재미가 있는 것도 아닌데 뭔가 몰입해서 술술 보게 된다 이게 바로 필력의 힘밥 같은 드라마
9,우리들의 블루스,Topic1,갬성과 설명식 대사가 취향에 안 맞아서 하차하지만 맞는 분들은 재밌게 보실 것 같다 화면도 좋고
10,우리들의 블루스,Topic2,특별히 애정하는 배우가 한 명도 없는 캐스팅 라인업은 마뜩잖지만 노희경 작가님을 믿는 다년을 기대할 이유가 하나 생겼다
11,우리들의 블루스,Topic2,영상미 한지민 외모 배우 라인업 연기 전부 무시무시할 정도로 화려하다 기대만빵
12,우리들의 블루스,Topic2,이게 뭐 완전 연기 드림팀이네 벌써부터 별다섯 개 기대중 이병헌에 한지민에 노희경 작가에 와우 김우빈 신민아 커플까지
13,우리들의 블루스,Topic2,그냥 빠져들어 보게 된다 배우들이 멋진 각본 위에서 혼을 빼는 연기를 하고 거기 빠져들다 보면 어느새 편이 끝이 난다
14,우리들의 블루스,Topic2,이 화려한 캐스팅 라인업을 보고 안 볼 수가 있나 게다가 노희경 극본 바로 이거지 눈과 귀를 홀리는 이 몰입도 심지어 짠내 나는 차승원이라니 너무 좋다
15,우리들의 블루스,Topic3,아니 작가님 고딩시절 좀 더 풀어봐요 창수와 은희창수 이 개시키야 은희 등쳐먹지마 나의 영원한 첫사랑 한수안녕아이고 은희야 우리 사귀어요 시간 필요해요 아니
16,우리들의 블루스,Topic3,아 너무 좋다 그냥 노희경의 이야기를 보고 있는 그 순간이 너무 행복
17,우리들의 블루스,Topic3,어찌 보면 반복되고 지루한 일상인 것은 그들과 나의 공통점이지만 그래도 나의 인생보다 그들의 인생을 보는 것이 더 즐겁다
18,우리들의 블루스,Topic3,가장 일상적인 게 찬란하다고 느끼는 순간
19,우리들의 블루스,Topic3,화에서 돌담벼락 김혜자 선생님과 강아지 꽃이 장면 너무 좋았다 따뜻해
20,사내 맞선,Topic0,웃으면서 재밌게 잘 봄 결말이 뭔가 빠르게 끝내려고 보인 게 아쉽
21,사내 맞선,Topic0,클래식은 영원하다간만에 아무 생각 없이 재밌게 본 드라마
22,사내 맞선,Topic0,매주 챙겨볼 정도는 아닌 거 같고 몰아보면 재밌는 드라마귀여니 세대의 저녁드라마
23,사내 맞선,Topic0,유치하고 뻔해서 재밌음근데 이런 드라마의 문제는 후반부
24,사내 맞선,Topic0,미미친 클래식은 영원하다로코 너무 안 봤나 클리셰가 짜릿하다
25,사내 맞선,Topic1,예상에서 하나도 빗겨가지 않는 클리셰 모음집하지만 아는 맛이 제일 맛있다구
26,사내 맞선,Topic1,보면서 킹받아하는 날 보며 웃는 친구에 또 킹받아하다 스리슬쩍같이 킹받자고 영업하는 나
27,사내 맞선,Topic1,그러니까 말이야 나는 내가 좀 그런 사람이면 좋겠어 저게 말이 되냐고 지적하는 대신에 말도 안 된다며 요절복통하는 사람
28,사내 맞선,Topic1,물론 그만큼 이 드라마가 스트레이트하게 달달하게 해냈다 오리지널리티는 솔직히 모르겠다 김비서가 왜 그럴까와 그녀는 예뻤다 를 반반씩 섞은 이야기에 설정 자체도 클리셰라 뭐 하나 이 드라마의 독자성을 내세우기 애매하다 그럼에도 일관성이라는 무기가 잘 통한 드라마다 초반부에 아예 애니메이션 효과까지 적극적으로 넣으면서 코미디 요소를 부각했고 이후 이어지는 사건들이나 캐릭터들의 감정 기복도 적정선에서 유쾌함을 잃지 않는다다만 이를 싱겁게 여길 수도 있다 창창한 젊은 배우들을 또 알게 됐다 베테랑들도 든든하다 가볍게 보기 좋다지만 그 가벼운 맛이 언제 또 그리울 것 같다
