,title,Topic,Korean,English
0,우리들의 블루스,3,이 화려한 캐스팅 라인업을 보고 안 볼 수가 있나,Can't you see this colorful cast lineup?
1,사내 맞선,3,스트레스 없는 드라마 오랜만이다. 전개도 시원시원하게 빠르고 캐스팅이 완벽함,It's been a long time since the drama without stress. A cool start and perfect cast
2,스물다섯 스물하나,4,이런 사랑도 있다고 계속 설득하다가 결국 이런 사랑도 이별할 땐 그저 그런 사랑이 되고 말았다,"I continued to persuade you that there was love like this, but when I finally broke up with this love, I just became such a love."
3,시맨틱 에러,2,과거 장르는 우울한 분위기들이 많아서 관심이 안 갔는데 너무 좋다,"The genre in the past has a lot of depression, so I'm not interested in it, but it's too good."
4,악의 마음을 읽는 자들,1,악은 사라지지 않는다 또 다른 형태로 우리에게 나타날 뿐,"The evil doesn't disappear, it only appears to us in another form."
5,나의 아저씨,4,차가운 삶에 온기를 전해주는 인생드라마,A life drama that delivers warmth to a cold life
6,소년심판,2,우리가 한번은 들어봤었던 이슈를 잘 표현해 준 것 같고 판사 개개인에 감정씬도 몰입도가 높았다,"I think we've expressed the issues we've heard before, and the individual judges were also highly immersive."
7,비밀의 숲,2,이 작품을 본 후에 드라마를 더 이상 못 보겠다. 완벽한 작품을 보고 수준이 올라갔다.,I can't see the drama anymore after watching this work. The level went up when I saw the perfect work.
8,멜로가 체질,2,감독의 역량이 스토리와 대사 캐릭터로 완벽하게 표현된 드라마,A drama in which the director's abilities are perfectly expressed as stories and lines.
9,괴물,3,특히 조연 배우들의 연기가 좋았다,Particularly the performance of the cast actors was good.
10,모범택시,2,중반부의 루즈함을 점차 조이면서 소재가 갖는 좋은 점들을 팽팽하게 펴내기 시작했다,"It began to tighten the good points of the material, gradually tightening the middle of the line."
11,미스터 션샤인,2,암흑의 시대에도 불꽃 같은 사람들이 있었음을. 어차피 피었다 질 꽃이면 제일 뜨거운 불꽃이고 싶었다. 영상 진짜 최고다,"Even in the dark age, there were people like fireworks. I wanted to be the hottest fire if it was the flowers that had grown and lost. The video is really the best."
12,트레이서,2,스피디한 활극의 재미 국세청 소재도 독특,The fun of rapid development and the National Tax Service were also unique.
13,술꾼도시여자들,2,일주일에 몇 번씩 보던 술친구들이 있었다면 웃음지으며 추억해 볼 만한 작품,"If you have drunk friends who have seen several times a week, you can remember it with laughter."
14,라이프 온 마스,2,작가의 천국에 대한 표현에 동의한다,I agree with the writer's expression of heaven.
15,해피니스,2,현실 이야기 현실이 아닌 이야기 다 품고 있다,"It's all about reality, not reality."
16,태종 이방원,2,작정하고 만드는구나 욕심 같아서는 안재모의 이방원이 다시 보고 싶다,You're making up your mind. I'd like to see Ahn Jae-mo's Lee Bang-won again.
17,도시남녀의 사랑법,2,난 정현정 작가 스타일이 좋아서 별 불만 없이 잘 보는 중,"I like the style of writer Jung Hyun-jung, so I'm looking at it without any complaints."
18,검색어를 입력하세요 WWW,2,현실적이면서도 비현실적인 스토리와 아름다운 화면을 담은 재미있는 드라마,An interesting drama with realistic but unrealistic stories and beautiful screens
19,옷소매 붉은 끝동,4,이 순간이 변하지 않기를 이 순간이 영원하기를 그리하여 순간은 곧 영원이 되었다,"The moment soon became eternal, portraying this moment will not change."
20,악의 꽃,2,예상치도 못한 반전에 뒤통수 조심,"An unexpected turnaround, careful back of the head"
21,런 온,2,이 드라마의 큰 장점인 재치 있는 대사가 그 어떤 드라마들보다 캐릭터들의 생동감을 확실히 살려 준다,"A brilliant ambassador, the great advantage of this drama, certainly helps the character's vitality than any other drama."
22,손 the guest,2,참신한 소재이면서 더 긴 호흡을 가능케 하는 구성이어서 흥미로웠다,It was interesting because it was a fresh material that made it possible to breathe longer.
23,"서른, 아홉",2,불륜 소재 끌고 온 건 도저히 용납이 안 되지만 그럼에도 불구하고 매화가 궁금하고 아주 몰입해서 울고 웃고 하며 보는 중,"It's unacceptable to bring the affair material, but still, I'm curious about each episode and I'm very immersive to cry, laugh and see it."
24,슬기로운 의사생활,2,캐릭터 관계성 모두 좋다 그래서 빠져들고 밤도 새고 정말 재밌게 봤다,All the character relationships are good. So I fell in love with it and stayed up all night watching it
25,D.P.,1,군대는 너무 잔인하고 잔혹하다 탈영병들의 사정이 너무 딱하다 그들의 죽음을 보는 심정은 어떨까,The army is cruel and cruel. The situation of the elite soldiers is so sad. How does it feel to see their deaths?
26,사랑의 불시착,4,세상에서 제일 만나기 어려운 두 사람의 사랑 이야기를 완벽하게 풀어낸 수작,The perfect story of love between the two who are most difficult to meet in the world
27,스토브리그,2,그저 그런 스포츠 드라마인 줄 알았더만 그 이상의 이상과 현실이 담겨져 있었다,I thought it was just a sports drama. There was more than that and more reality.
28,왓쳐,1,반란 마지막의 마지막의 마지막까지 재밌음,fun to the end of the rebellion
