,title,review
0,Beyond Evil,"The story is unnecessarily confusing. Best screenplay? It jumbles up the time sequence for no good reason. The acting is one dimensional. Shin Ha Kyun smiles inappropriately and that is supposed to be great acting? Too much is filmed in the dark. Same morose tone for too long. The 2 heroes are so uninteresting as characters and so unlikeable. In contrast to the better K dramas the villains here are just defined by their crimes and don't have any justification. The plot doesn't have that much to it. They could have fit the whole
story in 12 episodes if they left out unnecessary scenes and lengthy repeats at the start of each episode. Best series? IOTNBO was so much better more original and more enjoyable. As a crime show Flower of Evil was way more involving and 10 times more exciting. The Baeksang awards got it wrong this year.Skip this heavy going boring dud."
1,Beyond Evil,"A very good series with 70% suspense in the screenplay, 95% superb acting and a 80-85% engaging and thrilling flow throughout. I saw the high praises, gave it a watch and my honest opinion is that it shines more because of its awesome acting above anything else; the deep & meticulous storylines, plots and events of the 2000 to 2021 period come next.The acting by the awesome cast, spearheaded by the amazing, shiny and super charismatic Shin Ha-kyun, the tender, sensitive and enigmatic Yeo Jin-gu and the whole band of charismatically mischievous antagonists was a real treat to watch and follow. Heartfelt congrats to them for their believable camaraderie, animosity and their super yummy stews and broths eaten together between friends. Loved the Manyang butcher shop and its warm and very beautiful owner Sung-eun Choi.Overall very satisfying; I will skip the weaknesses, it's not my place here to judge and above all the greatness of the show supersede the few cheesiness and weaknesses noticed by keen eyes.Worth the time spent watching it and the awards that it deservedly won."
2,Beyond Evil,"Outstanding show. Phenomenal characters, great acting, plot twists, drama, thrilling and creepy moments, precise and bulletproof writing. It's not easy to keep you invested for 16 hours on a thriller show (without stand alone episodes) but this was fantastic. 🙌"
3,Beyond Evil,"Loved the series. Just a bit of a quibble with some filler scenes that I don't have patience with. That's just me, for I thought it was an amazing series with SHK giving the award winning performance of a lifetime. YJG held his own brilliantly as well, and the two actors moved me deeply. Serious Korean cinema just gets better and better."
4,Beyond Evil,"A successful young police officer with powerful connections joins a substation and becomes involved in solving the murder 20 years earlier of one his colleagues sister. Is it a serial killer who is still operating and what are the dark secrets that the members of the station and local community are hiding. Interesting plot, well acted but too many psychological problems for all the actors and little real character development makes it a little heavy going."
5,Beyond Evil,Acting is fine in fact it's top level but this goes on to long with little happening and its very boring.i did waste 9 hours of my time before just going to the end to finish this series that had potential.
6,Beyond Evil,"This is obvious, the series is made for actors from the writer. The whole series is set of twins. Every 2 episode is a set, and 1-8 is one bigger set, then 9-16 is the second large set. And everything is combined as a whole. And of course, the two main characters are kind of twins that slowly merge together. The city counsel woman and the developer is another set of twins? Any more?In the 1st 8 episode, the ground works are lay down for the next 8 episode. And the characters are built up, ever so slowly. The pace is tactfully slow since the events and reveals are at a faster pace, a thriller's pace. It gives the audience time to think (or to participate) about what is REALLY going on here.The 2 main actors are excellent, especially the manic veteran cop. I'm reading subtitles, so the 2nd half has a bit more complex plot wise but not over done IMHO. The twists if any are relative minor and believable, but impactful. Well written.The young leuitenent's sacrifice is well telegraphed, along with his crushing realization that he long syspected. Loud as the express train on a rainy night. But the manic cop's revenge plan is a bit more problematic. Much too calculated. But he's a bit crazy so I give you that.The entire supporting cast is also excellent. The blues music score is very fitting. The serial killer themed type of thriller is only scratching the surface of the plot. I'm seeing lot of this onion layering recently in plot reveals and it's a effective tool in hooking the audience in. Here the writer also uses a simile of a new cop going into a small town's precinct, just like us, the audience going into the plot half blind and has to get to know the culture of the plot.Very well done.P.s. I'm rewatching the series again on Netflix and is catching more of the great writing with English subtitles instead of Chinese. The dialogue is just full of irony. Often from either the manic veteran cop or more often from the pretty boy. And all characters in the show are mulit dimensional too. From the substation chief, to Park Jeung-ji, the meat shop owner, down to the tertiary characters. They get meaningful dialogue and closeups to express their feelings, predicament and personality. In subtle ways. And the small town mentality is so spot on.And the quiet meat shop gathering is very cozy... comes with a slogan too ""Got money? No! Got good health? No !..."""
7,Beyond Evil,"Phew, What a ride has it been since I started Gwimul about four days ago. Right from the start Gwimul sets the tone, it's intense and gripping, with a storyline filled with a lot of suspense and of many mysterious characters. There are a number of sub plots to keep the viewer very interested in bargain, The first ten episodes focuses on a serial killer genre like Hollywood's Silence of the lambs, and travels at a breakneck speed but then the director for some reasons unknown tries to pull an ""à la Chinatown"" from the eleventh episode onwards after which the series goes into a lazy cruise mode till the very end. The season one contains a whopping sixteen, hour long episodes and runs a little over seventeen hours for it to end.Cinematography is brilliant and is very atypical of Korean movies in the recent years. Music and background score is good and grows on the viewer as the series progresses. Screenplay is both brilliant & terrific at times and confusing & boring at times, The writers gave away too much material early on but couldn't keep up the tempo after a while. Their usage and recall of a, unusually large number of character's names time and again, gets very confusing for non Korean viewers. Production design, costumes and makeup were decent. The editor makes a little impression in series that runs a whopping seventeen hours long. All the actors and the supporting actors were good and deliver some good performances, the many scenes where voices and tempers are raised are just terrific.Overall, Gwimul definitely entertains the viewer thoroughly for the major part of the series but strangely goes flat on the later part of the series. During the later episodes things are repeated over and over again, sometimes to very annoying levels. If one is a fan of serial killer or Korean movies, Gwimul would be a treat for sure, and is unmissable. I would advise viewers to binge watch the first ten episodes and watch not more than one episode per day after that, for better results. Trust me it will be easy on your head. It is not recommended for young audiences as the series features a lot of blood and gore. 6.9 stars out of 10 for a highly entertaining series, which could have been even better if edited well."
8,Beyond Evil,"This was incredible. The story is compelling and it's a show that keeps you guessing. The characters are unpredictable and there are hidden and darker sides to them that we get glimpses of as the show progresses, like the layers of an onion being peeled. The show is definitely confusing at some parts but everything gets revealed in due time.And the character development of Han Juwon and Lee Dongsik is so satisfying as they work together to unravel the truth of what happened 20+ years ago. And the actors who played them were phenomenal. What I really liked about this show is how it makes you think about the things people are willing to do to save themselves or to achieve a goal, and what lengths they'll go to to keep their reputation. It strips humanity's ugliest parts and incorporates them into this crime and mystery show, showing that ordinary people are more than capable of doing evil things to each other."
9,Beyond Evil,"Beyond Evil was a unique show to say the least. Full of fantastic acting performances and a really well written mystery with lots of red herrings and twists that keep you guessing. The soundtrack was also unique but fit the atmosphere of the show really well. The cinematography was dark, creepy, and perfect for the story. There was also a decent amount of character development that is usually lacking in these plot-heavy thrillers, so that was very rewarding. Overall this show is very well done and definitely worth a watch.I think some people complained that the show should have ended sooner, and I don't want to spoil the mystery at all, so I will just say that I thought it ended perfectly and exactly when it should have by resolving the main conflict/mystery presented at the very beginning of the show."
