,title,review
0,Encounter,"There is something soothing about the tone of this romantic drama about a rich older divorced Hotel CEO lady and a young man who works at her hotel. The Cuba parts are quite enchanting. But things slow down back in Seoul.
The smiles are a big feature here. Park Bo Gum smiles a lot from big out of place grins to half smiles. Song Hye Kyo seems too laid back and gives weak smiles too often. The romance has kissing but they behave more like friends than passionate lovers. In law interference from both sides rich and poor. The impact on the poor side is quite interesting for a change it is usually the other way round. Also the ex husband wanting to get her back is weak and just a plot device. The downfall of the powerful seems a contrived. She actually looked better with her ex husband."
1,Encounter,"The premisses of the story were good, as the story of the leading lady was tragic and it was obvious that when he met the young man, her life changed as well as her as a person. However, the romance and the love story all together lacked intensity. After the strong start, the events tended to repeat each other and the twists were boring. At least the performances were good, however, the two leads lacked chemistry and looked more like good friends than lovers."
2,Encounter,"Great cast and story, except when the writer falls into KDrama bad mother cliches and silly plot twists and gaffes in the last couple of eps to extend the episodes to the 16 signed for. PBG has the toughest role in creating a character who evolves from sweet but callow youth to a truly good man everyone else can learn from. I loved him so much. Also, the OST is one of the best in KDrama, and those two thematic ballads had me in tears more than once. It's a good drama, but once again the flaws that do exist are in the writing toward the end, not the acting or direction. Recommended."
3,Encounter,K-drama that running just a tad too slow and lacking punch despite promising first episode in beautiful Cuba. This time Park Shin-woo brought gender reversal of atypical lead characters with different social class to fall for each other and overcome the obstacles.Most exciting aspect was the pairing of Song Hye-kyo & Park Bo-gum. They didn't disappoint fans and audience with solid sweet chemistry consider their age gap in challenging relationship. Supporting cast only gave serviceable performances to extend the show with hardly any twists.
4,Encounter,"A couple have a brief encounter whilst in Cuba and on their return to Korea they meet again as a new employee at a hotel and the owner. A gently paced romantic drama which sees the couple having to deal with their different backgrounds, a jealous ex husband and an ex mother in law from hell. A well acted drama from the entire cast and some interesting side characters makes it an enjoyable though steady watch."
5,Encounter,"With a super casting of Park and Song, the story itself is disappointingly dull.The business ability of Song is not amplely reflected in the drama. And i also hope that Park be more able and has exceptional wit to help Song on her hotel business. So he will be more musculine.All the episodes develops just on their romance. The whole drama is one dimemsional and is not rich in content. The Cuba setting can just bring excitement for the first two episodes.A foreign setting and a supersar casting is not enough to make a good drama. Especially for this drama Song is older than Park, there will not be many kisses and romantic scenes like typical love drama. I expect the writer would add something special to compensate for the age gap. Like Mr Sunshine the age gap are compensated with beautiful shooting, great war scene, amazing costume. In Boyfriend we do not see anything special worth praising.Anyway the acting of the lead couple is above standard. They are both so famous and must have some attractiveness by their own character. Thus still worth a score of 7."
6,Encounter,"7.5/10 is my rating. This is a 2018/2019 South Korean television romance drama with 16, 60 minute episodes.Cha Soo-hyun (Song Hye-kyo), has lived life in the spot light serving as a poster child for her politician father. Her mother, who sees her daughter as a pawn to further her husband's political career, marries her off to a chaebol whose family has wealth and power sufficient to support her families' political ambitions. The loveless marriage soon falls apart when Soo-hyun's husband declares he wants to marry one of the women he had been having an affair with. There are conditions to the divorce on both sides, Soo-hyun's mother-in-law insists she continue to attend family gatherings until her son remarries. Soo-Hyun requests to be CEO of a hotel owned by the family which is on the verge of failing financially. Soo-Hyun makes the hotel so successful that she goes to Cuba to strike a deal to expand her hotel brand. It is while there that she has several chance encounters with Kim Jin-hyuk (Park Bo-gum), who saved doing part time jobs for a fun filled trip too Cuba before returning to South Korea and settling int his career. Soo-Hyun takes an impulsive trip out without her staff to see a highly recommended beach sunset and winds up being pick pocketed and stranded. She asks Jin-Hyuk to help her and they wind up spending a spontaneous and eventful evening together. They planned a good bye meeting the next morning but Soo-Hyun gets delayed and they return to South Korea separately thinking they are unlikely to see each other again. Fate has a say though and Jin-Hyuk's new job is with Soo-hyun's company. Differences in age, social class, and her ex in laws and parents desire for her to remarry her former spouse all stand in the way of the developing romance. Can the two overcome all the obstacles?Spoilers** Overall I would characterize this as boring. It wasn't bad but it wasn't particularly good either. The entire story line was very very predictable. When they were in Cuba it was slightly interesting as it was intriguing knowing neither one of them really knew who the other one was so there was anticipation in that. Also, in Cuba, they were doing some interesting things in that cultural space. When they were back in South Korea there was a moment of uncertainty when it turned out he worked for her and her company and when he had to go to an office farther away. The female lead character had a very ""flat"" personality. It was supposed to be due to her upbringing but, other than a few more smiles, the character did not change or grow significantly. It made it hard to understand why the magnanimous male character would be so madly in love with her. I thought that her conflict with her ex's family would turn out to be a way bigger deal than it actually wound up being. The fact that her father took care of it made the entire struggle leading up to that kind of a mute point. Even their small break up was very predictable and the fact that they got back together even more predictable. If it seems like I'm using the word predictable a lot it's very intentional there were no major surprises or twists which for me made the story very ho-hum. His mom and her actions is something you would expect within the context of a Korean drama yet I still found it very mean and irritating. I know it's the American in me that finds the way parents in Korean dramas interfere in the lives of their children annoying. When it is just them disapproving and working on their own child it is one thing but when they harm someone else emotionally it is just abusive. I was disappointed he was not angry with his mom about it. The father was and I liked that. I was glad she finally came around but it was almost too late. Not one I would rewatch or recommend unless someone is a serious fan of one of the leads or just likes very predictable romantic dramas."
7,Encounter,"I had rather high expectations from this show and it turned out to be a somewhat average, formulaic love story.
The only thing that really sets this show apart is the fact that it switches up the male CEO falling for the poor girl/secretary trope that is very common in k-dramas. The story is pretty simple, nothing too exciting but it makes sense. The plot revolves mainly around a very angsty, cutesy romance, so if that is your thing you will probably like this. The acting was very good, the soundtrack was decent, and I will say the cinematography was very pretty and well done.
This was a ""noona"" romance (which I didn't realize till a few episodes in), and while I normally dislike noona romances, this one didn't bother me too much - Park Bo-Gum did seem younger, he is very cute and bright eyed in this so that makes him feel very young, but Song Hye-Kyo is gorgeous and doesn't look her age so it worked. They did have chemistry, but not overwhelmingly so. I didn't like the Cuba scenes that much as the ""foreign"" actors in k-dramas always feel so stiff and awful, and this was no exception.
I actually kinda felt bad for the ex-husband.
To be honest I skipped through most of the episodes after the halfway point, I was rather bored and I could see where this was going and wasn't really interested.
Overall this was an okay watch, but wasn't something I personally liked very much. I was expecting something really amazing and touching and it was just average."
8,Encounter,"That was never fully realized in this drama. I love KDrama and usually appreciate the genre 's storytelling ability, but for some reason this series didn't live up to its promise. The lead actors are both outstanding performers, especially Park Bo Gum. In my opinion, he carried the show and his performance and that of his fictional family was the reason why I watched it to its finish. Song Hye Kyo performance was okay, but definitely could have been better. I give this drama seven stars."
9,Encounter,"This k-drama is not an american movie where there overly intimacy, telling I love you after meeting 3 days & obscenity.This drama has the obstacles of culture difference, tradition, custom, subtlety of love & interpretation of romance.Awesome leading actress & actor! Both beautiful people have such beautiful chemistry together despite their age & social standing.This drama is no different from some other dramas where the rich abuse their power! The challenges they have to face its even higher than Mount everest! The vindictive mother-in-law, even her own mother can be repulsive, an ex-husband who doesn't know how to treasure what he got until someone else has it, the company employees sabotage her, she is fighting against all odds & unbelievable obstacles!This drama maybe slow, draggy or not romantic enough for some but it has all the romance. The understanding of 2 people being love is never to give up on love, show them what has been there, reliability & whatever difference they have, they can overcome together! So this drama is worth watching as it is one beautiful love story!"
10,Encounter,"This is a nice show, if you're expecting fast paced high drama this isn't for you. If you are okay with manipulative, underhanded, revoting mothers of ""high class"", this is right up your alley. Two unlikelys fall for each other and their world turns upside down. Typical story, but nicely done.Cuba is lovely to see, I wish they were there longer at the beginning though. Korea is also beautiful and the scenery is lovely. The cheesy product placement is so forced and cringeworthy however, and it spoils it. Subtlety is so much better. It can be done properly and i wish they didn't mess it up like this.A nice watch if you're not into action or shows that have a mysterious plotline."
