,title,review
0,Hospital Playlist,""" Hospital Playlist "" is one of the hyped dramas of 2020 and you are going to like it if you loved dramas like Reply 1988. However, even though there are not many reviews that are not praising this drama, Hospital Playlist is not for everyone.The drama keeps a slow tempo, with the story being spread throughout the drama, probably so it can serve the next two seasons coming up next. Maybe that's when the drama picks up. And yes, this is a slice of life, but, at times, it felt like there was nothing to look forward to in the next episode. Also, there were moments when the drama got boring too.That said, they did handle the romance masterfully, as to not overshadow the friendship and so that it didn't become the main focus of the drama. They did a good job with the blend of music and story too, as well as with the flashbacks of their old days.Finally, when it comes to performances, the drama of course had excellent ones, as the cast was consisted by the best of the best.So, overall, six and a half out of ten, because there were some nice moments to the drama, but it felt like there was no story to it."
1,Hospital Playlist,"Brilliant and beautiful; sweet and wonderful. Strongly recommended, and cannot wait for the next seasons with this fabulous cast, director, and writer. What a treat."
2,Hospital Playlist,"IMDB has incorrectly combined two seasons into 24 eps when they are very different seasons. Season was is excellent, and I gave a 10. Season two is often silly and tedious and forced me to lower the score since IMDB combined them."
3,Hospital Playlist,"At the time of writing this review the U.K. is hopefully coming out of the total coved 19 lockdown, in which for the last 3 months once a week we have applauded our essential workers like doctors and nurses. This series although a romanticised version of events in a hospital reminds us of the life and death situations health professionals are met with daily. The show is well acted and the stars really sound like actual doctors with their varying bedside manners. Season one has a few romances blossoming with others about to bloom or die. The main protagonists are all musically adept and meet up once a week to jam which leaves each episode with a catchy song at the end. Would recommend watching for a feel good factor and if I could I would give it 8.5"
4,Hospital Playlist,"There have been a number of ""hospital shows"" over the years. And yet, with so many, Hospital Playlist is unique. Why? Because it sticks with its strengths: chemistry between the five leads and staying away from the typical hospital politics.Instead, Hospital Playlist is about people. It's about how we, as people, can endeavor to treat others just a little bit better; to put ourselves in the other person's shoes rather than resort to snap judgments. If you remember Patch Adams, you'll find that--for these five doctors at Yuji Medical Center--the people matter more than the disease or injury. In other words, it no longer pays to be indifferent and to block out natural emotions.Hospital Playlist is actually a fairly light show. Yes, it has some tense moments, but overall, it never gets bogged down in melodrama. Instead, it relies upon the unique chemistry of the five doctors who've known each other since medical school. And once a month, they get together and sing a song. Hence, the Hospital Playlist.Each doctor specializes in a certain field. First we have Ik-Jun, who is a general surgeon but specializes in the liver and liver transplants. He's the lead singer of the group, and in many ways, he's the glue of the group. He's the first to crack a joke or do something humorous to lighten the tension. And Jung-Suk Jo is masterful at this! He's got as much talent for comedy as he does for singing. He never takes things too seriously. His job is important, but treating his staff and his patients with respect is always of utmost importance to him.Next we have. Song Hwa who is a neurosurgeon. She's kind, dedicated, and a bit of a workaholic. HIlariously enough, she's someone who THINKS she can sing, but she can't. Actress Jeon Mi Do is actually a professional singer, so to see her purposely sing out of tune is impressive.Seok Hung is the somewhat aloof but dedicated gynecologist in obstetrics. He's every bit as caring about his patients and staff even though it's not always obvious.Jun Wan is the brilliant cardiologist who can appear cold but to characterize him this way would be a disservice. Underneath the tough exterior is a man with a heart who believes that hard work and dedication is a key to success.Last, but certainly not least, we have Jeon Wong Ahn, the professor of pediatrics. Nurses and parents alike adore him for his unique way of handling children. He relates with them. He talks with them, and he never sees them as just another patient.There are many touching and heartfelt moments throughout the series as we journey along with them through the days, weeks, months, and even years. Don't be surprised if you find yourself shedding a few tears one moment and then roaring out loud with laughter in the next. That's the Hospital Playlist. In the end, it provides comfort. It provides hope that people can still treat each other with respect, with compassion, and with empathy.If you're a music lover, you'll find a cache of great songs, all sung and performed by the characters. At the end of each episode of Hospital Playlist, we are reminded not to take life so seriously. We're reminded that life is supposed to be joyous and fun.At some point, I will definitely want to re-watch this great series. So, if you're looking for something that is light, with many feel-good moments, as well as many hilarious ones, I'm sure you love Hospital Playlist!"
5,Hospital Playlist,"The most I can give is 8/10 but the reality is only 7.5/10. The very early episodes have no band play singing wasting time, later episodes became too much. Their music instrument skills are so fake and lousy except the lead male is still average. In Season 2, some episodes showed their lousy and fake music skills again.It is all about hospital doctors' lives, mostly only revealing the good ones and little about the real-life bad ones. Actually, this is not really reality but only showed the 2-4% type of doctors' lives. Overall, they dare not reveal the truth of doctors' lives and no doctors will willing to do so.Season 1 end of episodes did not have any conclusion ending at all so It is kind of bad directorship and production. The rest time between Season 1 and 2 is very apart. However the ending is in Season 2 so why they named it Season 2 and not still in Season 1? Why the time frame apart?Overall this drama is not exciting and not really like those Medical dramas. This is like more suitable and the likes of adult ladies dramas which is smooth, draggy, home-like,....
I think the high ratings are due to these grandma and house-wives likings."
6,Hospital Playlist,"Grey's Anatomy, Take Your Scalpel & Go Home, Now. K-Band-Aid is In The HOWSE-pitalI put off watching this highly rated show for a while because I found the name unappealing. Well, what's in a name?This series follows 5 friends from college that eventually end up working at the same hospital in Seoul. Now that they are all back in Seoul, they resurrect their college band by working on 1 song a month, to ensure they take time to be together. Whether the above pre-screening sounds like a solid basis for a hospital drama or not, it's merely the setting. What matters is the relationships, particularly as embodied in the writer/director/actors. In any case, HP has stitched together an outstanding fellowship of talent.Believe the hype: Watch it. HP is 🎧AWE🎤SOME🎉.HP is about friendship first, but also caring+respect for others, love, parents & children, music, and lots and lots of #food. The hospital scenes, including staff dynamics and operating room procedures, feel realistic. The characters are a delight.Here's a shout-out to Jo Jung-Suk. He delivers another slam dunk with his performance as Dr. Lee Ik-jun. Every one does a great job.This just pertains to season 1. I haven't started season 2 yet.(((((((()))))))))With season 2 now watched, the diagnosis is that their practice in season 1 rendered season 2 even #more affective. It continues with the uplifting treatment of the subjects, and it's a resounding hit. Picking up right where it left off, there's a seamless connection to season 1.Early in season 2 there's a Ping-Pong tourney. Cardio-Thoracic Sx was looking good - until they had to concede in order to respond to an emergency. At least half of the matches seemed to be decided that way. Instead of mic drops, we see paddle drops. We get to hear other docs gossip about the great Lee Ik-jun: 'I heard Dr Lee was in the Ping-Pong Club in college. In fact, I heard he was in EVERY club in college. He was even in the magic club.' Comfortably confident, Ik-jun tells Song-hwa: ""I'll return victorious before this tea gets cold."" (Nope. Nuclear Medicine runs the tables). His defeat is commemorated with these words: ""Tasting Defeat and savoring victory: These are the things that allow us to grow.""Let's take a moment to review the primary protagonists.In season 2, Lee Ik-jun continues to play Dr Cupid. While Ju-wan (the cardiologist) is worried about Ik-jun discovering whom he's dating. We must wonder: Why worry? How could Ik-jun deny anybody love? Watch to see. He has time to play cupid, and also cover for the lunch lady because he's so brilliant that everything is easy for him. Besides, he's friends with the lunch lady on social media, and her son had a parole hearing. The only thing that takes Ik-jun more time than other docs, is walking thru the hospital. That's because the highly loquacious Ik-jun is friends with everybody - security guards, aids, custodians, scattered guardians ... Just everybody.Ah, the unparalleled and misnamed SONG-hwa. She can do everything: neurosurgery, research, office visits, lectures,,, one of her biggest timetakers is her mentoring of any and all residents in their educational, professional, and even personal lives. She can do everything but sing. She sings anyway, with masses of verve. She gets pleasure out of little things, like rain. She dances at church and eats like a Sumo wrestler. Utterly delightful, she's the heartbeat of the gang, excepting the band.Seok-hyung lost a little weight and he looks great in season 2. He declined to take over his father's business and continues to rise to near celebrity populatiy as an Ob/Gyn, despite his modest and somewhat shy persona. Patients respond to his gentle and caring manner. One office visit depicts amazing ultrasound footage of a 10 week old fetus wiggling its arms and legs. The couple's reaction is precious. Still focused on Seok-hyung, his mother remains unable to resist attempts to try to control him. She wants grandchildren. Now. She tells him: I don't care who it is. Just get married.Dr. Chu continues to try and insert herself into Seok-hyung's life. In season 2 he's neither encouraging nor rejecting her efforts. Dr. Chu is not easily daunted. In fact, she's downright inspirational. Openly perusing Seok-hyung, she often makes him laugh. Dr. Chu runs into Seok-hyung's mother - literally. Mom was so offended that she even told Rosa she doesn't care whom Seok-hyung marries, as long as it isn't #HER!, speaking of Dr. Chu.Ju-wan is unchanged in season 2, and his relationship with Dr. Do, whom he is training, continues to improve. We get to meet Dr. Do's wife in season 2.The pediatrician, Dr. Ahn (Andrea/Jeong-won) treads the course set in season 1. There's not a lot to say w/o spoiling some surprises. He complains that his siblings are worried about mom, but as they can't help ""right now"", they bombard him with calls. In rich irony he laments: ""Why did they enter the church, really?""We see the return of almost all the side characters: Parents, siblings, other doctors, residents, as well as new first years. They all continue to round out the show well.Uju wants to go camping, so Ik-jun finally leaves his beloved city life for a weekend, because his son is his world. Hmmm. Who else loves camping?Gy-eol is looking relaxed and even pretty, especially with her hair down. We learn more about her in season 2.As a side note, there's a realistic basis for the show. The positive connection between surgeons and music has actually been studied. The participants currently playing a musical instrument, at the time of the study, performed the laparoscopic tasks significantly faster than those who did not. They determined that visuo-spatial abilities used in laparoscopic performance clearly may be enhanced for individuals playing a musical instrument. It seems obvious that finger strength and dexterity should also be positively affected.Even though HP is a top-ten show
in all of Korea's history, there are currently no plans for a season 3. The writer has completed the originally scripted storyline. That is the current status, but there's actually numerous ways to continue the drama. For now, it's a wrap. If you are one that dreads waiting for another season as it it's a multistage invasive treatment plan, it's safe to go forward with the HP procedure now, and hope for a reoccurance in the future.IMHO...
🎬9 🤔8 🎭9 ⚡4 💓8 🦋5 🎵 9 🎨6🔚9.Suggested Age 12& up, with a caveat: One unmarried couple is shown in bed together with enough skin showing to infer what's unmistakably been going on. Any parents who object to that, be advised. The counter-balance is the realistic medical setting, along with reinforcement of good character."
7,Hospital Playlist,"I loved all the characters so much I finished this drama in about 2 days lmaoo. The storyline itself isn't too heavy, but at the same time covers so many different emotions. I'm so excited how season 2 will turn out!"
8,Hospital Playlist,"I hate medical shows that focus too much on showing gore in surgeries; you see a bit but nothing terrible or too much in this. It's a show that focuses on friendship at work and its absurdities, and has a fairly good soundtrack as well. It's worth a watch!The only thing that really bugs me, and it's a personal bug, is U-Ju's totally coconut haircut. I get helmet hair is a thing, but why do that really harsh cut for a little kid? ^sigh^"
9,Hospital Playlist,"As a medical student myself truly enjoyed this drama!
The cast did a really great job specially memorizing all the medical terminology haha that's not an easy job !Love the songs.. love everything !!"
