,title,review
0,The Uncanny Counter,The chasing and fighting of bad guys is done in very dim lighting. Hard to see what is going on. After 5 episodes it was quite fun to see him take on bullies and get his powers. But it is boring and confusing when they go after assorted villains. The angst is overdone and out of place.
1,The Uncanny Counter,"You are in for a treat. The first few episodes of most Kdramas are better than entire seasons of western shows! Around the halfway mark in the episode roster the writers usually throw in a lot of brand new plot arcs and twists. Kdramas initially specialized in romcoms, but now they lead in all genres. This specific series includes a wide range of themes -- horror, high school drama, politics, fighting -- you seldom see mixed together. Great TV."
2,The Uncanny Counter,"Korean Drama "" Uncanny Counter "" is a wonderful blend of action, comedy and family dynamics.The drama has a perfect atmosphere, almost like a webtoon, with perfect action scenes and a beautiful world built. The drama introduces the universe of the counters slowly and the viewer gets to know it at the same time as the main character. The family dynamics of the small group of the counters were perfect, emotional at times, funny at others. The story is also full of small cases that the counters had to solve, which were interesting and entertaining, while it follows the main 'big' mystery of the case that eventually involves everyone.The performances were great as well, and everyone had the perfect chemistry with each other. However, the main lead got annoying and tiring to watch when he was struggling to maintain the barrier thing, as it looked a bit fake and overacted. But the rest of his acting was really good. Also, the guys of the 'other side' were overbearing at times.So, overall, 8.5 out of 10 for this pretty entertaining drama."
3,The Uncanny Counter,"I eventually found the battles too long and redundant, and some of the evil stuff and bullying repetitive and over the top. But I enjoyed the cast very much. The leads had great chemistry and were endearing. Would definitely watch Season 2 because I like them so much."
4,The Uncanny Counter,In an imaginary Korean city murderers are taken over by evil spirits that then feed on the souls of those they murder. Luckily for the world there are a special group of people called counters who with their fighting abilities defeat the spirits releasing the trapped souls and bringing the human to justice. The counters in this city are an eclectic mix all with different special abilities to try to defeat the spirits. When web toons are brought to the screen I believe the stories are often less fluid but this flows really well and is very entertaining with good performances from the entire cast.
5,The Uncanny Counter,"Think its safe to say this is a good series and should be good til the end, acting and story are above average"
6,The Uncanny Counter,"Either I have been extremely fortunate, or there is simply a treasure trove of K-dramas that I have had the pleasure of watching that have simply been superb! Series from ""Mr. Sunshine,"" to ""Descendants of the Sun"" to ""It's Okay to Not Be Okay,"" to ""Crash Landing on You,"" to ""Stranger"" and on and on. I have been exposed to the very best that Korean television has had to offer, and I'm still leaving out many others.On the surface, a viewer may look at this as a sort of ""Buffy the Vampire Slayer"" type series where three individuals (which becomes four) run a Noodle restaurant, but on the side, they're catching demons, i.e. evil spirits. These people are called ""Counters"" as they are imbued with special, superhuman abilities from their ""sponsors"" or ""counterparts"" in Yung (a sort of staging area before moving on to ""heaven.""). To look at this series with those eyes is to short-change it dramatically.Like nearly all great K-drama series, this series is driven by great, and even deep characterizations with a rich story that actually has something to say; how to deal with bullies, both within the school system as well as within the corporate world; those who would prey upon the weak and helpless.Someone once said that evil tends to pervade when good people do nothing to stop it. Many consider this to be even worse than becoming ""evil.""The story centers around Mun, a young high school boy who's suffered untold and unspeakable horrors by losing his parents in an accident and also the physical disabilities that are the result. And yet, he never hesitates to jump in and protect his friends and those who are ""weak."" Where most people would hesitate or not act at all, he doesn't even think about it. He simply acts. And while he can be impulsive and wears his emotions on his sleeve, he is essentially fearless when it comes to doing the right thing.""The Uncanny Counter"" is a testament to the ideal belief that even the smallest person can make a difference. Yes, the Counters have special powers, but they are also only four people going up against a system. Much like Superman who always finds himself in over-his-head against Lex Luthor...someone who uses the power of the system against him.One of the things I love about K-dramas, is that they aren't afraid to allow their characters to demonstrate natural emotions. In this way, we are given deluge of deep, realistic, and relatable characters. We are also usually given something to really think about. In this series, we are presented with the idea that a person doesn't need to have special abilities or super powers in order to do the right thing; that, indeed, one person, no matter how small, can make a difference. It also conveys the truth that no one needs to stand alone. Bullies are cowards. All of them. And they are easily dealt with when people rally together to fight them.All of the performances in this series are fantastically done. Characters that will make you laugh, sniffle, and evoke raw emotion. I suppose there is a reason why I'm far more into K-dramas right now than American shows, which no longer seem to provide me with stories and characters that speak to me. Instead, we're given a barrage of CGI, wooden characters that have virtually no depth at all."
7,The Uncanny Counter,"10/10 is my rating. This is a 2020/2021 South Korean fantasy, mystery, thriller series with 16, 70 minute, episodes.Set in the fictional city of Jungin in South Korea, a group of Counters are charged with ridding the world of evil spirits. The evil spirits posses human hosts who have either committed murder or are evil to the extent they would be willing to. Being possessed by the evil spirit compels the human host to kill and ""consume"" the spirit of the victim making the evil spirit grow increasingly strong and more difficult to extricate and send on to the spirit realm. The Yung, God like inhabitants in a realm that exists between Earth and afterlife, team with people who are in the half living state of medical coma and allow them to live if they agree to fight the demons. The Counters are not only restored to health but also are given supernatural powers and superhuman strength. Ga Mo-tak (Yoo Jun-sang) is an older male Counter who is much stronger and more forceful than the other counters. As a former detective he is also able to use his investigative skills to hunt down the murdering spirits. Do Ha-na (Kim Se-jeong) has the ability to sense when a human hosting an evil spirit enters the Counter's territory. Choo Mae-ok (Yeom Hye-ran) is able to heal others and as an older woman is motherly and nurturing. To cover their real purpose, the counters run a noodle shop around their busy demon hunting schedule.
In the beginning of the series, there was a fourth Counter Jang Cheol-joong (Sung Ji-ru) but a super powerful Level 3 (Level one being weakest) evil spirit kills him and consumes his spirit. His Yung companion spirit, Wi-gen (Moon Sook) has to quickly find another partner spirit and winds up drawn to and pairing with a young, non comatose, teenager, So Mun (Jo Byung-gyu). This unique pairing leads Wi-gen to believe this young person, who is slightly crippled on one side, has something unique to offer. To convince the young man, the team offers to heal his crippling injury and allow him to talk to his parents who were killed in the car accident that injured him when he was only 11. Soon the team finds that they desperately need the help of this young man who proves to be the most powerful and diverse Counter of them all. As the team fights many battles together, their bound grows into that of a close knit family. They find that tragic events in their past also tie them together and compel them to risk everything to send perhaps one of the most powerful and evil spirits they have ever encountered to the afterlife.Spoilers*. I am a huge fan of supernatural and action dramas. I like strong male and female characters a complex yet easy to follow plot and lots of character development. This series had it all. The main character was such a cute and likable young person it was easy to understand why the group would so quickly and deeply take to him. The action scenes left me wondering if the actors were doing their own stunts because they were amazing and very fluid. There was a little romance sprinkled in although that was in no way a central focus. The central character's growing skill was fun to watch. We were immediately drawn in and hooked to the last scene. It ended well (not sad) and plot points were wrapped up. There will be a second season but do not think that means this one did not wrap up. It stood lone well yet has some elements that would nicely carry to the next season. Highly recommend this series."
8,The Uncanny Counter,"I truly enjoyed this show so much! I usually like to binge-watch my shows, but this one I watched week to week, and its format really worked and kept me interested and excited for every new episode.The premise is interesting and fun, and the characters are just perfect across the board. So Mun is such a perfect protagonist; he is cute and brave and charming in all the right ways so you continually love and root for him the whole time. His ""found family"" is the best mix of characters; the cold but protective Ha Na, the gruff Mo Tak, and the sweet mom-like Ma-Ok make a wonderful group of very watchable character moments. Also a shout out to the over the top character of Jang Mul, who was a total scene stealer!The soundtrack is fun and upbeat/heroic with some beautiful sad songs thrown in for an even toned mix. The cinematography was well rounded, with some very decent and cool special effects. The bad guys are successfully bad without being too over the top (although the end fight definitely gave me those vibes). There were some cringe moments and a few times where the plot felt a bit redundant, but overall this was an extremely enjoyable watch. I would definitely recommend and even watch again!"
9,The Uncanny Counter,"Ok...I am a Canadian white dude and because of the COVID silliness and the sheer lack of western shows I have started looking into some South Korean TV to fill the gap. My goodness, so far it has been a real treat! Korea is getting pretty good at making tv shows! Of course it's all English subtitles for me and some of the unexplained cultural scenes are lost on me, but those are few and far between. I have really enjoyed this show that is over an hour per episode! There is a ton of content here to watch and it was all expertly done for the most part.
Excellent writing is what has made this show so good. The directing and acting is decent too, but it's the writing that far outshines them all!
For entertainment value this show is great so be sure to check it out!"
