,title,review
0,Squid Game,"Unless you have been living under a rock, you probably don't need me to give you this warning. ""Squid Game"" is one of the most incredibly violent things you can watch and it's NOT something you want to let your kids see. And, if your mother or Father O'Reilly drop by, you also might want to think twice before watching this South Korean mini-series with them! You'll see hundreds dies, heads explode and tons of blood....just don't say I didn't warn you!In many ways, the show is a lot like the Japanese movie ""Battle Royale"" or the ""Hunger Games"" films...but with one huge exception. Unless the unwilling participants in the other films, the folks in ""Squid Game"" know what they're in for after the first round...and their deaths were because of their greed or situation in life.The film begins by showing you a bit of Seong Gi-hun's life. He (Lee Jung-jae) is a loser in pretty much every way and his gambling addiction has destroyed his marriage. He's deeply in debt to loan sharks who vow to kill him and you have a very hard time feeling sorry for the guy. He's ruined his, his wife's and his daughter's lives.When one of his loan sharks catches up to him, you assume they'll either beat Seong or kill him. Oddly, however, instead they have him sign a paper in blood....and in order to avoid being killed he signs it without hesitation. What he doesn't realize is that by doing this, he's agreed to enter one of the strangest gambling contests ever...if not the strangest.Seong arrives at the location the paper tells him to go to...but why, he isn't sure. Soon a van pulls up and he enters...and is knocked out almost immediately. When he awakens, he's with 455 other participants...who, at this point, have no idea what they're in for with these strangely clad 'hosts'. They are told they're playing a game of Red Light/Green Light...and most of the folks think it's all very childish. However, when the first one moves when it's a red light, snipers kill him!!! Soon, they realize that they'd BETTER make it to the goal line before the allotted time or they'll die...and die many of them do.After this 'game', about 200 of them were killed. But here's where it gets interesting. They are then allowed to vote as to whether to finish the game and go home or continue. By only one vote, they vote to go home. Episode two shows them at home...and it's my favorite one of the shows in the series. At this point, most of the remaining players actually decide to return to the game, as many of them face death or prison if they quit the game. The final seven episodes are the continuation of the game...as well as showing the actions of a cop who manages to infiltrate the contest.Again, just to make things clear, this is a mega-violent show....even more so than the ""Fargo"" television series! But I kept watching despite this because the writing was simply exquisite and the characters in the game truly memorable...and in some cases, infamous. It also is exceptional because so much of it is hard to predict! Overall, a film that is different enough from ""Hunger Games"" and ""Battle Royale"" that it really works well. I found it so compelling, I watched the entire series in one evening....though I'd only planned on seeing and episode or two.By the way, if you care, the amount won in the contest is a bit more than $38,000,000 US dollars."
1,Squid Game,"Just finished up SQUID GAME, the Korean TV show that's become a global smash hit on Netflix. It's truly brilliant and even better than the similar Japanese show ALICE IN BORDERLAND! The show is centred around contestants competing in children's games for a cash prize, but the twist is that they get killed if they lose. Shades of SAW and THE HUNGER GAMES here, but this is rivalled only by BATTLE ROYALE in terms of sheer quality. As usual for Korea, the writing, acting, and direction are all superb and the games themselves are hugely suspenseful, unlike anything I've seen before. Definitely horrifying enough both in premise and in terms of violent bloodshed to count as horror too."
2,Squid Game,"Well multiple games actually, but even that you may find ... not accurate. Now you may not look the same way at some games that are being played here. But with all the buzz right now, you've probably heard quite a bit about that already.If like you got into this without any spoilers (congrats by the way), then the show will be able to surprise quite a few times. Be it by the players themselves but also and even more so by how the story evolves. It may not end exactly how I would imagine ... but that can also be seen as a good thing I reckon.As a fan of Korean cinema I was curious about this anyway. And it did not dissapoint - at all. The acting is amazing, the effects are great ... and the story is as mature as it can get. With enough social commentary and critique to make this a great watch!"
3,Squid Game,"Mixed feelings on this one. The glorification of violence in shows like this tend to be desensitizing and seem to acclimate those with criminal tendencies to head down a wrong path. Yet the challenge of the individual games create a paradox of situations in which the viewer is steered toward thinking that certain players will work together, only to find they are pitted against each other, as in the marble game. The horror of that game was brought forth when a married couple naively decided to work together, only to be faced with the grim reality that there could only be one survivor. These kinds of situations were prevalent throughout the series episodes, making it almost impossible to know who would survive at the final outcome. Through it all, I believed there was something noteworthy about the old man, player #1 (Hideo Kimura), who's physical resemblance to an aged Korean Billy Crystal impinged on my brain every time I saw him (go back and see what I mean). Oddly, for such a large cast of characters, there weren't any that I could really connect with in a meaningful way. Perhaps the closest was player #240, young Ji-yeong (Vivian Lu, incorrectly identified in the credits as Sae-Byeok), eliminated in play when partnered with player #67 Kang Sae-byeok (Jung Hoyeon). Tied for most despicable characters were player #101 Deok-su (Paul Nakauchi) and player #212 Han Mi-neo (Stephanie Komure), so it was appropriate that they should be eliminated together in the Glass Stepping Stones game. The ending here seemed a little superfluous considering all that went before, with the old man Il-nam wagering a final personal bet against Gi-hun (Greg Chun), player #456, and winner of the grand prize of 45.6 billion won. Doing the conversion, that came to just under thirty nine million dollars, and seeing all those big numbers can really disorient the viewer. When Gi-hun paid the flower vendor at the end of the story a ten thousand won note for a single bunch, it seemed awful generous, until doing the math revealed it was about eight dollars and fifty cents."
4,Squid Game,"Even if you've seen ""The Hunger Games"" and ""Money Heist"", ""Squid Game"" (called ""Ojing-eo Geim"" in the original Korean) is still going to shock you. The sad thing is that so many people have no other choice but to risk everything like the characters here.Definitely see it. You'll never look at any children's game the same way again after seeing it."
5,Squid Game,"This runaway hit from South Korea is centred on Seong Gi-hun, a heavily indebted man who is invited to take part in a series of six games that if he wins will solve his problems. He accepts gets into a vehicle where a gas puts him to sleep. When he wakes he is in a large facility with over four hundred other people; they are watched over by masked armed guards. Here they are told the rules, one of which states that if a majority of players want to quit the game will end but they will not get any prize money. As they play the first game, the school yard game 'red light green light' they quickly learn that being eliminated is quite literal with losers being shot on the spot! Over the course of the series Gi-hun gets to know various other contestants; some he befriends and forms a team with for certain games; others are quickly identified as a danger. As the games continue more and more people are eliminated. While this is going on a policeman, looking for his missing brother, has found his way to the facility and, having taken the place of a guard, it trying to uncover what happened to his brother and who is behind the activities there.When I saw this recommended on Netflix I thought I'd watch it sometime but was in no great rush as I assumed to would be a Korean 'Alice in Borderland'. After hearing talk of its popularity I thought perhaps I should watch it sooner. I'm glad that I did. I really liked 'Alice in Borderland' but this is so much better, and while there are some similarities there are very important differences. There is a real sense of danger from the moment the first game begins; the fact that the contestants are playing playground games rather than deviously clever made up games make it feel strangely more real. The games are nicely varied; requiring skill, strength and sometimes just luck. The characters are the series real strength; they are varied and the way they are introduced means that the viewer grows to really care about them, especially as we learn certain players motivation for playing such a deadly game. The programme's design is impressive; I especially liked the masked look of those running the game facility. The cast does a really fine job bringing their characters to life and the sets and effects are impressive. Overall I'd definitely recommend this... watch it before you learn too much about what happens.These comments are based on watching the series in Korean with English subtitles."
6,Squid Game,"Everybody has been talking about ""Squid Game."" I've been seeing memes and costumes, and I was in the dark. I didn't feel compelled to watch it at all because I generally don't watch T. V. shows. I found that any show can make one or two good episodes, but then I begin disliking every character after a while. I broke down and watched ""Squid Game"" at the constant urging of my wife and to me it's meh.To me it's a Korean ""Hunger Games."" I know that there are some big differences, but it's still people playing deadly games for a prize. What has drawn in so many viewers is the fact that adults are playing kids games with deadly consequences. Of course, there has to be some exposition and character development in a nine episode show with each ep being an hour, but what we're all there to see is who will survive and who will be eliminated. Like those who go to NASCAR races for the crash.Maybe it's a victim of its own hype, but I wasn't that impressed. There were some impressive moments such as the first game they played and the pure shock of it all, and maybe even episode six when choosing partners put them in a position many of them didn't want to be in, but I will say that some of the 'umph' is taken out of a show when you know that anyone without a significant speaking role is definitely dying before any main character. I've labeled this spoiler so I'll say this: when you have a tug-o-war game with just about every main character on one team it's a dead giveaway that they're going to win no matter how weak and frail they look.So, to ""Squid Game"" I say ""Meh."" Only one character was halfway exciting or fun to watch and the side stories didn't interest me enough. If ""Squid Game"" were four episodes instead of nine I think it would've been a lot better. That being said, I'm committed now. I would like to see what happens in season two."
7,Squid Game,Exciting show that keeps you watching. The Korean part is the emotional connection with the characters and their financial problems and how they have family obligations. The violence although comically exaggerated is unusual for a K drama. Good acting from LSJ and PHS veteran actors. Striking set design gives it a visually glossy look. Whatever makes international audiences watch K dramas is good. This isn't a typical K drama and far from one of the best. But it's a swift watch.
8,Squid Game,"I went into this show knowing absolutely nothing about it other than being a korean series. And yet i found it annoyingly predictable with almost nothing surprising me. Maybe i've just seen too many movies, but i've seen this all before. And i think what a lot of ppl like about this show is the norm in korean cinema. But most casuals have never watched a korean movie (if so, you're missing out, only thing that comes close to hollywood-level quality)i mentioned it in my title, but if you loved this series and are shocked by my low rating, please please please watch oldboy (not the american remake). It's superior in every way imaginable and an amazing movieoverall, this was an okay show. I was really into it at first, but it seemed to decline after the halfway point. By the end, i was feeling minimal impact from the big moments, and during the last episode i just wanted it to finish. There's a lot of good here, but many negatives as well. See below.Things that bothered me (without spoilers)-a scene that could have been really cool but they full-on strobe lighted it so you couldn't see anything-a ridiculously annoying female character (the older one), biggest offense is the eye-rolling bathroom scene-some really questionable decisions, some to the point of angering me-characters asking moronic questions or being outraged at things that they can't possibly still be outraged aboutthe games start out creative with skill, talent and strategy involved, but become random and filled with luck-the laughable acting and dialogue for all of the english scenes. This is the norm for asian cinema, but that doesn't mean it can always be forgiven. It was AWFUL. Can't they hire any experienced american actor? Or an english dialogue correspondent?-i like when a movie is the right kind of weird, the kind that makes it feel unique and adds character. But a lot of the weird in this show seemed to be there solely for the sake of being weird.-there were SO many times where i knew exactly what was going to happen next."
9,Squid Game,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningSEASON ONESeong (Lee Jung-Jae) is down on his luck, addicted to gambling and in debt to vicious loan sharks, not to mention eager to reacquaint with his estranged son. At his lowest ebb, he finds himself approached by a man at a train station, who offers to take care of his financial woes if he agrees to participate in a secretive ritual. With no choice but to accept, Seong finds himself plunged, with a group of others, in to a nightmarish, garish battle for survival.Korean cinema has enjoyed some recent worldwide acclaim, with cult hits such as Parasite and The Platform leaving quite an impression. But this year it's enjoyed this again in a TV format, with this mind-bending visceral blow from writer/director Hwang Dong-hyuk. It's sheer outrageousness and visual astonishment is enough to leave an impression, and even sparked some copycat behaviour around the world, with reports of people reenacting some of the 'games' portrayed.It comes together like a fusion, of the wildest excesses of the most fantastical Phillip K Dick novel, and the most blood thirsty Quentin Tarantino film, with a fairly standard format of a group of strangers being thrown together to fight for survival, which has been portrayed in films such as Cube. Like the aforementioned films, there seems to be some societal commentary thrown in, such as increasing poverty and the gap between rich and poor, as well as the depths 'reality TV' could sink to in the name of 'entertainment.'It's definitely been the runaway hit of 2021, that's left quite an impression, and gained quite a cult status, that, in spite of its excessive gruesomeness, can safely be said to be earned. ****"
